440/0001,PREVIEWS ONLY JAN 2012,,2,,,DIAMOND PUBLICATIONS
440/0002,MARVEL PREVIEWS ONLY JAN 2012,,0.75,,,DIAMOND PUBLICATIONS
440/0003,PREVIEWS AND MARVEL PREVIEWS JAN 2012,,2,,,DIAMOND PUBLICATIONS
440/0004,PREVIEWS JANUARY 2012 CUST ORDER FORM  ,,0,,,DIAMOND PUBLICATIONS
440/0005,PREVIEWS TOYCHEST  2012,,0.75,,,DIAMOND PUBLICATIONS
440/0011,LOBSTER JOHNSON THE BURNING HAND #1 JOHNSON ,,2.35,,,DARK HORSE
440/0012,LOBSTER JOHNSON THE BURNING HAND #1 MIGNOLA 1-5 VARIANT,,2.99,,,DARK HORSE
440/0013,BPRD HELL ON EARTH RUSSIA #5,,2.35,,,DARK HORSE
440/0014,BPRD PLAGUE OF FROGS TP VOL 01 ,our price,13.77,reduced from,£18.99,DARK HORSE
440/0015,HELLBOY THE FURY #1 (2ND PTG)  ,,1,,,DARK HORSE
440/0016,HELLBOY THE FURY #2 (2ND PTG)  ,,1,,,DARK HORSE
440/0017,HELLBOY THE FURY #3 (2ND PTG)  ,,1,,,DARK HORSE
440/0018,ANGEL & FAITH #6 STEVE MORRIS CVR,,1.99,,,DARK HORSE
440/0019,ANGEL & FAITH #6 REBEKAH ISAACS VAR CVR,,1.99,,,DARK HORSE
440/0020,BTVS SEASON 9 FREEFALL #5 MORRIS CVR,,1.99,,,DARK HORSE
440/0021,BTVS SEASON 9 FREEFALL #5 JEANTY VAR CVR,,1.99,,,DARK HORSE
440/0022,PC CAST HOUSE OF NIGHT #3 (OF 5),,1.99,,,DARK HORSE
440/0023,THE STRAIN #2 (OF 12),,2.35,,,DARK HORSE
440/0024,THE OCCULTIST #3 (OF 3),,2.35,,,DARK HORSE
440/0025,CREEPY COMICS #7,,3.33,,,DARK HORSE
440/0026,MONSTERMEN AND OTHER SCARY STORIES HC ,our price,13.77,reduced from,£18.99,DARK HORSE
440/0027,ORCHID #4,,2.35,,,DARK HORSE
440/0028,ORCHID #1 CARNEVALE CVR (O/A),,0.67,,,DARK HORSE
