"4840001","PREVIEWS ONLY #324 SEPTEMBER 2015",,"2.00",,,"DIAMOND PUBLICATIONS"
"4840002","MARVEL PREVIEWS ONLY #324 SEPTEMBER 2015",,"0.75",,,"DIAMOND PUBLICATIONS"
"4840003","PREVIEWS AND MARVEL PREVIEWS #324 SEPT. 2015",,"2.00",,,"DIAMOND PUBLICATIONS"
"4840004","PREVIEWS #324 SEPT. 2015 CUSTOMER ORDER FORM",,"0.00",,,"DIAMOND PUBLICATIONS"
"4840017","HCF 2015 ACTIONVERSE ",,"0.30",,,"ACTION LAB ENTERTAINMENT"
"4840018","HCF 2015 VAMPBLADE FEATURING ZOMBIE TRAMP  ",,"0.30",,,"ACTION LAB ENTERTAINMENT"
"4840019","HCF 2015 SABRINA #1 ",,"0.30",,,"ARCHIE COMIC PUBLICATIONS"
"4840020","HCF 2015 ADVENTURES OF PSYCHO BONKERS ",,"0.35",,,"ASPEN MLT INC"
"4840021","HCF 2015 DC COMICS KIDS BOOK ",,"0.35",,,"DC COMICS"
"4840022","HCF 2015 DC COMICS TEEN BOOK ",,"0.35",,,"DC COMICS"
"4840023","HCF 2015 BIRTH OF KITARO ",,"0.35",,,"DRAWN & QUARTERLY"
"4840024","HCF 2015 STAN LEE CHAKRA THE INVINCIBLE ",,"0.35",,,"GRAPHIC INDIA PTE. LTD"
"4840025","HCF 2015 DONALD DUCKS HALLOWEEN SCREAM #1 ",,"0.35",,,"IDW PUBLISHING"
"4840026","HCF 2015 DOCTOR STRANGE OATH #1 ",,"0.30",,,"MARVEL COMICS"
"4840027","HCF 2015 ULTIMATE SPIDER-MAN AND AVENGERS #1 ",,"0.30",,,"MARVEL COMICS"
"4840028","HCF 2015 JUNJI ITO FRAGMENTS OF HORROR ",,"0.40",,,"VIZ LLC"
"4840029","HCF 2015 GRIMM TALES OF TERROR WEB OF DECEIT ",,"0.40",,,"ZENESCOPE ENTERTAINMENT INC"
"4840047","HCF 2015 ORANGE GLOW WRIST BAND  ",,"1.00",,,"DIAMOND PUBLICATIONS"
"4840048","HCF ORANGE LOGO T-SHIRT SM  ",,"6.00",,,"DIAMOND PUBLICATIONS"
"4840049","HCF ORANGE LOGO T-SHIRT MED  ",,"6.00",,,"DIAMOND PUBLICATIONS"
"4840050","HCF ORANGE LOGO T-SHIRT LG  ",,"6.00",,,"DIAMOND PUBLICATIONS"
"4840051","HCF ORANGE LOGO T-SHIRT XL  ",,"6.00",,,"DIAMOND PUBLICATIONS"
"4840052","HCF ORANGE LOGO T-SHIRT XXL  ",,"7.25",,,"DIAMOND PUBLICATIONS"
"4840053","HCF ORANGE LOGO T-SHIRT XXXL  ",,"7.25",,,"DIAMOND PUBLICATIONS"
"4840061","COLDER TOSS THE BONES #1 ",,"2.65",,,"DARK HORSE COMICS"
"4840062","BPRD HELL ON EARTH #135",,"2.35",,,"DARK HORSE COMICS"
"4840063","BPRD HELL ON EARTH #135 MIGNOLA VAR UNLIMITED",,"2.35",,,"DARK HORSE COMICS"
"4840064","ABE SAPIEN #26",,"2.35",,,"DARK HORSE COMICS"
"4840065","BALTIMORE CULT OF THE RED KING #5 ",,"2.65",,,"DARK HORSE COMICS"
"4840066","HELLBOY IN HELL #8",,"1.99",,,"DARK HORSE COMICS"
"4840067","FRANKENSTEIN UNDERGROUND TP ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840068","BTVS SEASON 10 #19 MAIN CVR",,"2.65",,,"DARK HORSE COMICS"
"4840069","BTVS SEASON 10 #19 ISAACS VAR CVR UNLIMITED",,"2.65",,,"DARK HORSE COMICS"
"4840070","BTVS SEASON 9 LIBRARY HC 03 ","our price","16.31","reduced from","22.50","DARK HORSE COMICS"
"4840071","BTVS SEASON 9 LIBRARY HC 01 ",,"17.99",,,"DARK HORSE COMICS"
"4840072","BTVS SEASON 9 LIBRARY HC 02 ",,"17.99",,,"DARK HORSE COMICS"
"4840073","ANGEL AND FAITH SEASON 10 #18 MAIN CVR",,"2.65",,,"DARK HORSE COMICS"
"4840074","ANGEL AND FAITH SEASON 10 #18 NORTON & ENGLERT ",,"2.65",,,"DARK HORSE COMICS"
"4840075","GOON LIBRARY HC 01 ","our price","21.74","reduced from","29.99","DARK HORSE COMICS"
"4840076","THIS DAMNED BAND #2 ",,"2.65",,,"DARK HORSE COMICS"
"4840077","DEATH HEAD #3 ",,"2.65",,,"DARK HORSE COMICS"
"4840078","MIDNIGHT SOCIETY THE BLACK LAKE #4 ",,"2.65",,,"DARK HORSE COMICS"
"4840079","ELFQUEST FINAL QUEST #11",,"2.35",,,"DARK HORSE COMICS"
"4840080","HARROW COUNTY #5",,"2.65",,,"DARK HORSE COMICS"
"4840081","WORLD OF WARCRAFT CHRONICLE HC 01 ","our price","21.74","reduced from","29.99","DARK HORSE COMICS"
"4840082","MIRRORS EDGE EXORDIUM #1",,"2.65",,,"DARK HORSE COMICS"
"4840083","TOMB RAIDER TP 03 QUEEN OF SERPENTS ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840084","HALO ESCALATION #22",,"2.65",,,"DARK HORSE COMICS"
"4840085","HALO ESCALATION TP 01 ",,"12.50",,,"DARK HORSE COMICS"
"4840086","HALO ESCALATION TP 02 ",,"12.50",,,"DARK HORSE COMICS"
"4840087","CONAN THE AVENGER #18",,"2.35",,,"DARK HORSE COMICS"
"4840088","CHRONICLES OF CONAN TP 30 DEATH OF CONAN ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840089","REBELS #6",,"2.65",,,"DARK HORSE COMICS"
"4840090","NEGATIVE SPACE #3 ",,"2.65",,,"DARK HORSE COMICS"
"4840091","PAYBACKS #1",,"2.65",,,"DARK HORSE COMICS"
"4840092","POWER CUBED #1 ",,"2.65",,,"DARK HORSE COMICS"
"4840093","KABUKI LIBRARY HC 02 ","our price","21.74","reduced from","29.99","DARK HORSE COMICS"
"4840094","FIGHT CLUB 2 #5 MACK MAIN CVR",,"2.65",,,"DARK HORSE COMICS"
"4840095","FIGHT CLUB 2 #5 MORRIS VAR CVR UNLIMITED",,"2.65",,,"DARK HORSE COMICS"
"4840096","TOMORROWS #3 ",,"2.65",,,"DARK HORSE COMICS"
"4840097","MISTER X RAZED TP ","our price","8.69","reduced from","11.99","DARK HORSE COMICS"
"4840098","ORDER OF THE FORGE TP ","our price","7.97","reduced from","10.99","DARK HORSE COMICS"
"4840099","SHAPER TP ","our price","9.79","reduced from","13.50","DARK HORSE COMICS"
"4840100","RESIDENT ALIEN TP 03 SAM HAIN MYSTERY","our price","7.24","reduced from","9.99","DARK HORSE COMICS"
"4840101","ADAM.3 #2 ",,"2.65",,,"DARK HORSE COMICS"
"4840102","BARB WIRE #3",,"2.65",,,"DARK HORSE COMICS"
"4840103","KING TIGER #2",,"2.65",,,"DARK HORSE COMICS"
"4840104","DARK HORSE PRESENTS 2014 #14",,"3.33",,,"DARK HORSE COMICS"
"4840105","PLANTS VS ZOMBIES #4 GROWN SWEET HOME",,"1.99",,,"DARK HORSE COMICS"
"4840106","ZODIAC STARFORCE #2",,"2.65",,,"DARK HORSE COMICS"
"4840107","AGE OF REPTILES ANCIENT EGYPTIANS #4 ",,"2.65",,,"DARK HORSE COMICS"
"4840108","GROO FRIENDS AND FOES #9",,"2.65",,,"DARK HORSE COMICS"
"4840109","ARCHIE VS PREDATOR HC ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840110","ARCHIE ARCHIVES PROM PRANKS AND OTHER STORIES TP ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840111","USAGI YOJIMBO #148",,"2.35",,,"DARK HORSE COMICS"
"4840112","USAGI YOJIMBO SAGA TP 05 ","our price","13.77","reduced from","18.99","DARK HORSE COMICS"
"4840113","USAGI YOJIMBO SAGA LTD ED HC 05 ","our price","43.50","reduced from","60.00","DARK HORSE COMICS"
"4840114","OH MY GODDESS OMNIBUS TP 02 ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840115","KUROSAGI CORPSE DELIVERY SERVICE OMNIBUS TP 02 ","our price","10.87","reduced from","14.99","DARK HORSE COMICS"
"4840116","GAME OF THRONES STATUE DAENERYS & DROGON ",,"76.78",,,"DARK HORSE COMICS"
