"444/0001","PREVIEWS ONLY MAY 2012  ",,"2.00",,,"DIAMOND PUBLICATIONS"
"444/0006","MARVEL PREVIEWS ONLY MAY 2012",,"0.75",,,"DIAMOND PUBLICATIONS"
"444/0007","PREVIEWS AND MARVEL PREVIEWS MAY 2012",,"2.00",,,"DIAMOND PUBLICATIONS"
"444/0008","PREVIEWSMAY 2012 CUST ORDER FORM ",,"0.00",,,"DIAMOND PUBLICATIONS"
"444/0012","STAR WARS D.VADER GHOST PRISON #1 WILKINS ",,"2.35",,,"DARK HORSE"
"444/0013","S WARS D.VADER GHOST PRISON #1 TSUNEO 1-5",,"2.99",,,"DARK HORSE"
"444/0014","STAR WARS BLOOD TIES BOBA FETT IS DEAD #2 (OF 4) ",,"2.35",,,"DARK HORSE"
"444/0015","STAR WARS DAWN OF THE JEDI #4 FORCE STORM ",,"2.35",,,"DARK HORSE"
"444/0016","STAR WARS KNIGHTS OF THE OLD REPUBLIC WAR #5 ",,"2.35",,,"DARK HORSE"
"444/0017","MASS EFFECT HOMEWORLDS #2 PALUMBO CVR",,"2.35",,,"DARK HORSE"
"444/0018","MASS EFFECT HOMEWORLDS #2 HAWTHORNE 1-5 CVR",,"3.99",,,"DARK HORSE"
"444/0019","DRAGON AGE HC VOL 01 SILENT GROVE ","our price","7.97","reduced from","10.99","DARK HORSE"
"444/0020","RESIDENT ALIEN #1",,"2.35",,,"DARK HORSE"
"444/0021","ORCHID #7",,"2.35",,,"DARK HORSE"
"444/0022","ORCHID TP VOL 01 ","our price","9.79","reduced from","13.50","DARK HORSE"
"444/0023","GUILD FAWKES #1 DUFFIELD CVR",,"2.35",,,"DARK HORSE"
"444/0024","GUILD FAWKES #1 RIOS VAR 1-5 CVR",,"2.99",,,"DARK HORSE"
"444/0025","GUILD TP VOL 02 ","our price","7.97","reduced from","10.99","DARK HORSE"
"444/0026","DARK HORSE PRESENTS #12 KIETH CVR",,"4.99",,,"DARK HORSE"
"444/0027","DARK HORSE PRESENTS #12 MOTTER VAR CVR",,"4.99",,,"DARK HORSE"
